text,label,new_label,confidence,annotation_note,needs_review,language_type,annotator,prev_label,label_original,source_id,aug_method,script,emoji_count
dr্shKp্rIয় SIriয়aL tomader d্bara hbe na hau mau kr ken othCh jkhn EkEr pr Ek bhArtIয় SiRiয়AL dube jach্chhil Tkhn Km্bl GAয়e chhil bhartiয় siRiয়al theke biMUKHee krechhe sulTan suleman siriয়al dIp্ti tibhI chaliয়e jao ch্janaler sAmNE danড়ate Asle pithuni diba hETe go chetna ken et beshi,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,83196,"translit,codemix,informal",mixed,0
ShEEeikH moInuL hAssan...yoU r great chhagu pn্dit। tumI mne hয় in্dIয়an chhaguder un্nt maner beeR্je utpadn hiয়a skl BaNglaDEsHer jngnkei paki beer্j bhabites। 😡,Religious,Geopolitical,,,False,,,Religious,Geopolitical,74314,"syn,translit,informal",mixed,1
ei hamlar pichhne bharter hat thakte pare karn kichhu pete hle kichhu khoয়ate hয় jemn senabahini ht্ja kre tara onek kichhu peয়echhe 😠,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,83184,"syn,codemix,emoji",mixed,1
baal kamaner jn্j। toiri krchhe bhart। 🤡,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,80468,"translit,codemix,emoji",mixed,1
bhaaRt AmadeR bn্dhu kin্tu apsos ta eKhane thekei jaয় juD্dh sheshe koti Takar os্t্r srny্jam lut krechhilo bhartij় senabahinee omৃtbajar DOinIk me bhart amader Bn্dhu Muk্tijud্dhe sahAj্j KREchhE saler chuk্ti st্beo bhart tin bigha kridor hs্tan্tr kreni bangladeshke bhart amADer bn্dHu muk্TiJud্DhE sAHAJ্j kReChhE bro thEkE bangladeshke PANIR naj্j HiS্ja dej়ni pd্ma shukij়e aj bathrumer tangki bchhre koti takar phsl uTPaDn bn্DH bhart aMAdER Bn্DhU muk্tijud,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,83813,"syn,translit,informal",mixed,0
BHArtiiয় goয়en্da sngs্tha r bipiel ke bitr্kit krte chaichhe। jen aipiel i dk্shin eshiয়ad er ekmat্r kheLa Hয় 💢,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,75625,"translit,codemix",mixed,1
rk্T ooO pAni eKSatHe MIsHE na rK্te upADan hiSebeI panir pRIman sr্boch্cH o eksathe mIshe Na kichhudin age bharter sheer্Shs্tHanIয় neta s্beekar kre nij়ecHheN phrak্ka BAdh ChhIL Sm্pUr্n EtA SBcheয়E beShI k্shti kreCHhe bharter bishESh kre bIhaRER salE bharter ra er birud্dhe mt diয়echHeN KIn্tu rA shunen nai jEi sb ElaKa tE achhE SEkhAnE p্rchur prIMane jn্me eeSh্brer upr matb্bRi p্rয়oJn ne 🤡,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,77005,"syn,translit,codemix,informal,emoji",mixed,1
aaamerika rashiয়a cheen ekhn amader kt bhal bn্dhu oukHAnE in্diয়a kon chetEr baL ~,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,81523,"syn,translit,emoji",mixed,0
BaaAngladEshKe bN্dhU bhabe bhart tbe madb dIয়E... 💢,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,77867,"syn,translit,informal,emoji",mixed,1
aaamader desher kichhu Neta achhe bharter saThe tulna kre jdi seta tar pk্she hয় kIN্Tu banglar itihase emn udahrn AChhe kI thakle dekhao jara mn্t্ri Chhil OtHba em pI CHHiL 🔥,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,78928,"translit,codemix,informal",mixed,1
